2.1346,1.816,0,0,1.9381,0.98444,719.13,1
5.9789,1.3452,2.1403,-9.9984,3.4395,0.70337,868.54,1
2.6794,10.243,40.384,10,12.485,0.35818,1311.6,1
3.923,2.0479,1.873,-9.9979,2.9863,1.0736,798.93,1
1.703,2.6163,0,0,2.2277,1.0361,756.03,1
1.8385,4.071,13.39,10,3.5232,0.7172,903.37,1
1.5281,5.2124,14.835,10,3.7474,0.79743,932.42,1
0.89781,4.3055,0,0,1.9327,1.6312,643.31,1
0.85055,3.9727,0,0,1.6895,1.7676,673.77,1
1.7093,4.4969,13.217,10,3.567,0.74585,910.63,1
2.2594,5.6311,22.869,10,6.0667,0.51443,1076.3,1
1.2241,4.6469,0,0,2.8441,1.1685,818.2,1
25.666,1.6255,26.416,-1.3137,6.263,0.69656,1102,1
3.2149,1.2279,0,0,1.9738,0.81768,701.72,1
1.8981,2.5833,0,0,2.4517,0.93473,783.86,1
2.6105,5.4007,23.583,10,6.6531,0.44562,1099.7,1
12.165,3.632,15.124,-1.3068,16.217,0.25716,1367.4,1
4.1681,3.2871,4.3969,-3.8183,3.1059,2.0083,737.91,1
11.611,1.2822,5.6517,-2.0651,4.9169,0.6473,998.74,1
1.4571,3.7231,10.692,10,2.5788,0.95008,810.05,1
2.2959,9.8758,0,0,11.337,0.52377,1316.8,1
2.2175,5.3794,0,0,5.9643,0.61863,1091.9,1
25.823,1.6196,22.378,-1.3427,9.7908,0.38283,1234.6,1
2.2772,4.8328,17.025,9.9999,5.0385,0.5339,1012.1,1
1.2775,2.6136,0,0,1.6694,1.3818,639.53,1
2.5703,1.5582,0,0,2.0026,0.88843,730.55,1
2.1673,2.4488,0,0,2.6536,0.83825,806.85,1
1.8088,6.7891,21.149,10,5.7194,0.61297,1076.8,1
1.2814,6.3623,16.728,10,3.8821,0.90468,956.43,1
0.86194,8.9499,16.944,10,3.6503,1.2653,883.35,1
1.6042,3.5113,10.637,10,2.6658,0.8801,827.91,1
15.873,2.6261,19.963,-1.4716,10.131,0.55913,1269.8,1
16.761,1.7855,15.368,-1.4545,6.2073,0.72952,1087.9,1
1.1831,3.413,0,0,2.019,1.3405,706.66,1
1.6751,2.8946,0,0,2.4244,1.0094,772.15,1
