,0
Lypla1,6.535043333333333
Mrpl15,6.535043333333333
Rgs20,0.9919233333333334
Atp6v1h,14.768329999999999
Pcmtd1,10.062656470588237
2610203C22Rik,41.073933333333336
3110035E14Rik,41.073933333333336
Adhfe1,41.073933333333336
Mybl1,41.073933333333336
Vcpip1,28.543525
Sgk3,11.75893
6030422M02Rik,20.353615
Snhg6,20.353615
Snord87,20.353615
Cops5,20.13488
Cspp1,20.13488
Arfgef1,28.75807
Cpa6,28.648096666666667
Prex2,5.1728169230769225
A830018L16Rik,23.08166
Sulf1,16.539736428571427
Prdm14,1.199918
Tram1,24.863644999999995
Lactb2,20.44481
Xkr9,20.44481
Eya1,23.00318285714286
Terf1,9.263696666666666
Rdh10,85.865475
Rpl7,85.865475
Ly96,61.10194750000001
Tceb1,61.10194750000001
Tmem70,61.10194750000001
Crispld1,17.202491666666663
Pi15,17.202491666666663
Mir133b,16.90567
Mir206,16.90567
Pkhd1,16.90567
Paqr8,9.277320000000001
Tram2,56.48558111111111
Gm4956,0.7622899999999999
Gsta3,0.7622899999999999
Tmem14a,0.7622899999999999
Kcnq5,13.5268875
Rims1,1.0175433333333332
4933415F23Rik,22.82186857142857
Mir30a,22.82186857142857
Mir30c-2,22.82186857142857
Ogfrl1,16.161665
Smap1,26.32981
Fam135a,18.989979999999996
Lmbrd1,20.08094
Bai3,0.523075
4931408C20Rik,9.49067
Gm597,9.01567
Phf3,14.108245999999998
1700001G17Rik,10.023256666666667
Prim2,10.023256666666667
Bag2,35.347199999999994
Rab23,35.347199999999994
Bend6,12.520356382978724
Dst,12.520356382978724
Arhgef4,68.39647
Fam168b,68.39647
Plekhb2,3.4521
Hs6st1,22.333837333333328
Uggt1,9.806429999999999
Arid5a,17.995240000000003
Neurl3,17.995240000000003
4632411B12Rik,3.4666900000000003
Lman2l,48.271675
Ankrd23,44.382446
Ankrd39,44.382446
Cnnm3,44.382446
Cnnm4,44.382446
Sema4c,44.382446
Fam178b,14.11302
Actr1b,17.93948
Zap70,17.93948
Tmem131,5.8748875
2010300C02Rik,25.505973333333333
4930594C11Rik,25.505973333333333
6330578E17Rik,25.505973333333333
Mgat4a,25.505973333333333
Unc50,25.505973333333333
Eif5b,23.131465000000002
Txndc9,23.131465000000002
Rev1,21.344089999999998
Aff3,28.78755857142857
Lonrf2,8.643475
Chst10,1.75136
Pdcl3,29.93571
Rpl31,23.261276666666664
Tbc1d8,3.4020033333333335
D1Bwg0212e,23.59861
Snord89,59.81353000000001
Rfx8,76.0948925
Map4k4,25.930316875000003
Il1r2,27.777309999999996
Il1r1,41.814270624999985
