0.49333,0.18209,0.10515,0.067939,0.046447,0.032881,0.023843,0.017598,0.013166,0.0099575,0.0075977
0.47293,0.18554,0.11043,0.072156,0.049355,0.034766,0.025021,0.018312,0.013585,0.010192,0.0077187
0.46626,0.1863,0.11233,0.073803,0.050476,0.035435,0.025379,0.018481,0.013646,0.010196,0.007695
0.46336,0.18656,0.11322,0.074608,0.051014,0.035731,0.025515,0.018524,0.013643,0.010173,0.0076657
0.46185,0.18667,0.1137,0.075055,0.051307,0.035883,0.025574,0.018533,0.01363,0.010153,0.0076448
0.46099,0.18673,0.11398,0.075328,0.051482,0.035969,0.025602,0.018533,0.013618,0.010138,0.0076307
0.46044,0.18676,0.11417,0.075505,0.051595,0.036021,0.025618,0.01853,0.013609,0.010127,0.0076212
0.46008,0.18678,0.1143,0.075625,0.051671,0.036056,0.025626,0.018527,0.013602,0.01012,0.0076146
0.45983,0.1868,0.11439,0.075711,0.051724,0.036079,0.025632,0.018524,0.013596,0.010114,0.0076099
0.45964,0.18681,0.11445,0.075775,0.051764,0.036096,0.025635,0.018522,0.013592,0.01011,0.0076064
