0.81263,0.081517,0.037057,0.021359,0.013616,0.0091853,0.0064268,0.0046139,0.0033763,0.0025074,0.0018843,0.0014297,0.0010935,0.00084201,0.00065212,0.00050758,0.0003968,0.00031139,0.0002452,0.00019367,0.00015338
0.69972,0.12212,0.06001,0.035801,0.023257,0.015868,0.011184,0.008069,0.0059253,0.0044119,0.003322,0.0025244,0.0019332,0.0014901,0.001155,0.00089969,0.00070378,0.00055261,0.00043536,0.00034402,0.00027257
0.59907,0.15276,0.080519,0.049609,0.032811,0.022634,0.016067,0.011649,0.0085835,0.0064075,0.0048339,0.003679,0.0028208,0.0021765,0.0016885,0.0013162,0.0010303,0.00080942,0.00063801,0.00050438,0.00039979
0.51618,0.17306,0.097211,0.061732,0.041537,0.028959,0.020701,0.01508,0.01115,0.0083441,0.0063071,0.0048074,0.0036905,0.0028505,0.0022133,0.0017265,0.0013523,0.001063,0.00083833,0.00066304,0.00052577
0.44868,0.18554,0.11043,0.072156,0.049355,0.034766,0.025021,0.018312,0.013585,0.010192,0.0077187,0.0058923,0.0045289,0.0035015,0.0027211,0.0021242,0.0016649,0.0013095,0.0010332,0.00081752,0.00064854
0.39335,0.19245,0.1208,0.081079,0.05634,0.040083,0.029039,0.021351,0.015892,0.011952,0.0090689,0.0069334,0.0053355,0.0041293,0.0032118,0.0025091,0.0019677,0.0015485,0.0012224,0.00096771,0.00076799
0.34757,0.19547,0.12885,0.088709,0.06258,0.044954,0.03278,0.02421,0.018079,0.013631,0.010362,0.0079337,0.0061127,0.0047356,0.0036864,0.0028819,0.0022616,0.0017808,0.0014065,0.0011139,0.00088438
0.30936,0.19578,0.13502,0.095225,0.06816,0.049423,0.036267,0.026905,0.020157,0.015234,0.011602,0.0088965,0.0068627,0.0053219,0.0041464,0.0032439,0.0025472,0.0020068,0.0015858,0.0012565,0.00099799
0.2772,0.19419,0.13967,0.10078,0.073154,0.053529,0.039523,0.029449,0.022133,0.016767,0.012794,0.0098248,0.0075879,0.0058902,0.0045929,0.0035959,0.0028254,0.0022272,0.0017608,0.0013958,0.0011091
0.24992,0.19129,0.14308,0.10552,0.077627,0.057306,0.042569,0.031855,0.024017,0.018238,0.013941,0.010722,0.0082905,0.0064419,0.0050274,0.0039388,0.0030968,0.0024426,0.001932,0.0015322,0.001218
