0.70711,0.17678,0.066291,0.027621,0.012084,0.005438,0.0024924,0.0011572,0.00054243,0.00025615,0.00012167
0.57735,0.19245,0.096225,0.053458,0.031184,0.01871,0.011434,0.0070783,0.0044239,0.0027854,0.0017641
0.5,0.1875,0.10547,0.065918,0.043259,0.0292,0.020075,0.013981,0.0098301,0.006963,0.0049611
0.44721,0.17889,0.10733,0.071554,0.050088,0.036063,0.026446,0.019646,0.014734,0.011133,0.0084608
0.40825,0.1701,0.10631,0.07383,0.053834,0.040376,0.030842,0.023866,0.018645,0.014675,0.011617
0.37796,0.16198,0.10413,0.074381,0.055786,0.043035,0.033813,0.026912,0.021626,0.017507,0.014255
0.35355,0.15468,0.10151,0.074017,0.056669,0.044627,0.035794,0.029083,0.023857,0.019715,0.016388
0.33333,0.14815,0.098765,0.07316,0.056902,0.045522,0.037092,0.030615,0.025513,0.021418,0.018086
0.31623,0.1423,0.096054,0.072041,0.056732,0.045953,0.037911,0.031683,0.026732,0.022723,0.019428
0.30151,0.13705,0.093444,0.070791,0.056311,0.046072,0.038394,0.03241,0.027622,0.023716,0.020482
