0.05825,0.1057,0.1256,0.1241,0.11122,0.094293,0.077401,0.06236,0.049719,0.039425,0.031187,0.024658,0.019506,0.015449,0.012255,0.0097376,0.0077512,0.0061809,0.0049372,0.0039503,0.0031656,0.0025406,0.0020419,0.0016432,0.001324,0.0010681,0.00086262,0.00069738,0.00056434,0.00045711,0.00037057,0.00030066,0.00024414,0.00019838,0.00016131,0.00013126,0.00010687,8.7068e-05,7.0974e-05,5.7886e-05,4.7236e-05,3.8565e-05,3.15e-05,2.5741e-05,2.1044e-05,1.7211e-05,1.4082e-05,1.1526e-05,9.4375e-06,7.7302e-06,6.3338e-06
0.018032,0.049088,0.078659,0.097376,0.10374,0.10059,0.091739,0.080337,0.068471,0.057308,0.047388,0.038872,0.03172,0.025797,0.020937,0.016973,0.013752,0.01114,0.0090264,0.007316,0.0059325,0.0048132,0.0039075,0.0031742,0.0025801,0.0020985,0.0017079,0.0013909,0.0011334,0.0009241,0.00075387,0.00061534,0.00050253,0.0004106,0.00033565,0.00027451,0.00022461,0.00018386,0.00015056,0.00012334,0.00010108,8.287e-05,6.7963e-05,5.5756e-05,4.5757e-05,3.7562e-05,3.0845e-05,2.5336e-05,2.0816e-05,1.7108e-05,1.4064e-05
0.0081628,0.026987,0.051149,0.072703,0.086817,0.092507,0.091222,0.08524,0.076689,0.067168,0.057712,0.048913,0.04105,0.034208,0.028362,0.023431,0.019306,0.015879,0.013043,0.010704,0.0087803,0.0071997,0.0059026,0.004839,0.0039673,0.003253,0.0026678,0.0021883,0.0017954,0.0014734,0.0012095,0.00099311,0.00081566,0.0006701,0.00055067,0.00045264,0.00037217,0.00030608,0.00025179,0.00020718,0.00017052,0.00014037,0.00011559,9.5198e-05,7.8422e-05,6.4617e-05,5.3252e-05,4.3895e-05,3.6189e-05,2.9842e-05,2.4612e-05
0.0044274,0.016286,0.034673,0.054462,0.070853,0.081244,0.085304,0.084105,0.079227,0.072184,0.06417,0.056015,0.048237,0.041118,0.034782,0.029252,0.024494,0.02044,0.017013,0.014133,0.011723,0.0097126,0.0080398,0.0066507,0.0054988,0.0045447,0.0037552,0.0031022,0.0025625,0.0021165,0.0017481,0.0014438,0.0011925,0.00098504,0.0008137,0.00067221,0.00055538,0.00045889,0.00037921,0.0003134,0.00025903,0.00021412,0.00017702,0.00014636,0.00012103,0.00010009,8.2781e-05,6.8474e-05,5.6647e-05,4.6867e-05,3.8779e-05
0.0027328,0.010417,0.024245,0.041194,0.057419,0.069941,0.077417,0.079928,0.078381,0.073966,0.067808,0.060813,0.053634,0.046699,0.040258,0.034439,0.029284,0.024782,0.020893,0.017562,0.014726,0.012325,0.010299,0.0085947,0.0071653,0.0059686,0.0049683,0.0041333,0.003437,0.002857,0.0023741,0.0019723,0.0016381,0.0013604,0.0011296,0.00093781,0.00077854,0.00064627,0.00053646,0.00044528,0.0003696,0.00030677,0.00025462,0.00021134,0.00017541,0.0001456,0.00012085,0.00010032,8.327e-05,6.9123e-05,5.7381e-05
0.0019105,0.0069341,0.017353,0.031461,0.04647,0.059601,0.069063,0.074254,0.075477,0.073524,0.069328,0.063752,0.057495,0.051071,0.044827,0.038976,0.033635,0.028851,0.024628,0.020939,0.017746,0.014999,0.01265,0.010649,0.0089505,0.0075133,0.0062999,0.0052775,0.0044176,0.0036952,0.0030891,0.0025811,0.0021557,0.0017998,0.0015021,0.0012532,0.0010454,0.00087179,0.00072688,0.00060596,0.00050507,0.00042092,0.00035075,0.00029225,0.00024348,0.00020284,0.00016896,0.00014074,0.00011722,9.7625e-05,8.1303e-05
0.0015296,0.0047527,0.012644,0.024233,0.037635,0.0505,0.06094,0.067946,0.071349,0.071555,0.069251,0.065185,0.060035,0.054346,0.048526,0.042856,0.037514,0.032602,0.028167,0.024217,0.020737,0.017698,0.015062,0.012788,0.010835,0.0091642,0.0077397,0.0065282,0.0055001,0.0046294,0.0038932,0.0032716,0.0027475,0.0023059,0.0019343,0.0016218,0.0013592,0.0011387,0.00095365,0.00079842,0.00066827,0.00055919,0.00046781,0.00039127,0.0003272,0.00027356,0.00022869,0.00019114,0.00015974,0.00013348,0.00011152
0.0014064,0.003331,0.0093448,0.018801,0.030523,0.042642,0.053373,0.061507,0.066543,0.068554,0.067977,0.065405,0.061445,0.056634,0.051405,0.046084,0.040898,0.035996,0.031466,0.027349,0.023658,0.020383,0.017501,0.014984,0.012796,0.010905,0.0092751,0.0078763,0.0066788,0.0056562,0.0047849,0.0040437,0.0034143,0.0028806,0.0024286,0.0020462,0.0017229,0.00145,0.0012197,0.0010255,0.00086193,0.00072415,0.00060818,0.00051062,0.00042858,0.00035963,0.00030169,0.00025303,0.00021217,0.00017787,0.00014908
0.0014558,0.002376,0.0069861,0.014678,0.024797,0.035929,0.046493,0.05523,0.061423,0.064886,0.065822,0.064656,0.061897,0.058041,0.053518,0.048677,0.043778,0.039007,0.034489,0.030297,0.026469,0.023017,0.019937,0.01721,0.014812,0.012716,0.010892,0.0093111,0.0079459,0.0067705,0.005761,0.004896,0.0041563,0.0035248,0.0029866,0.0025285,0.002139,0.0018083,0.0015278,0.00129,0.0010887,0.00091832,0.00077426,0.00065253,0.00054972,0.00046293,0.00038971,0.00032797,0.00027593,0.00023207,0.00019514
0.0016381,0.0017191,0.0052722,0.011519,0.020178,0.030228,0.040334,0.04928,0.056234,0.060818,0.063035,0.063147,0.06155,0.058674,0.054928,0.050661,0.046153,0.041619,0.037209,0.033027,0.029135,0.025568,0.022337,0.019439,0.016859,0.014579,0.012574,0.01082,0.0092923,0.0079656,0.0068172,0.0058259,0.0049721,0.0042385,0.0036091,0.0030702,0.0026093,0.0022158,0.0018802,0.0015943,0.001351,0.0011442,0.00096841,0.00081922,0.00069268,0.00058542,0.00049455,0.00041762,0.00035252,0.00029746,0.00025091
